gene tissue p q v
LINC00886 GTEx.Cells_Transformed_fibroblasts 1.21e-14 0.0844 2.41170084544947e-12
CHMP4C GTEx.Colon_Transverse 3.46e-09 0.0595 3.7262888440483e-09
CHMP4C GTEx.Esophagus_Mucosa 2.43e-09 0.0473 2.33360250289423e-09
CHMP4C GTEx.Lung 1.1e-09 0.0477 1.07471906931232e-09
CHMP4C GTEx.Pancreas 6.63e-10 0.104 9.65221111847895e-10
CHMP4C GTEx.Skin_Not_Sun_Exposed_Suprapubic 2.96e-09 0.0443 2.76581552023131e-09
CHMP4C GTEx.Thyroid 1.27e-09 0.0882 1.68259440922753e-09
CASC10 GTEx.Skin_Sun_Exposed_Lower_leg 8.81e-09 3.72e-09 5.32542946960603e-10
CRHR1 GTEx.Adipose_Subcutaneous 2.71e-12 2.82e-10 3.22353815948385e-14
LRRC37A GTEx.Adipose_Subcutaneous 1.28e-12 9.43e-09 5.01397448894457e-15
CRHR1-IT1 GTEx.Adipose_Subcutaneous 2.98e-12 5.26e-10 2.36743298642922e-14
KANSL1-AS1 GTEx.Adipose_Subcutaneous 4.71e-12 8.51e-10 5.61039132851952e-14
LRRC37A4P GTEx.Adipose_Subcutaneous 2.06e-11 1.33e-09 5.08499675700335e-13
LRRC37A2 GTEx.Adipose_Subcutaneous 1.97e-11 3.22e-07 7.44033099438633e-13
RP11-6N17.6 GTEx.Adipose_Subcutaneous 6.23e-10 0.606 2.60444105612416e-09
CRHR1 GTEx.Adipose_Visceral_Omentum 3.11e-13 2.89e-10 6.28521831631197e-15
LRRC37A GTEx.Adipose_Visceral_Omentum 9.18e-13 1.03e-08 5.28615523428746e-15
CRHR1-IT1 GTEx.Adipose_Visceral_Omentum 1.17e-12 2.53e-10 3.68678682625604e-14
KANSL1-AS1 GTEx.Adipose_Visceral_Omentum 2.11e-12 4.63e-10 9.720428468141e-15
LRRC37A4P GTEx.Adipose_Visceral_Omentum 1.13e-12 2.75e-10 1.10542485315217e-14
LRRC37A2 GTEx.Adipose_Visceral_Omentum 1.96e-11 4.47e-07 7.61754397494831e-13
CRHR1 GTEx.Adrenal_Gland 9.33e-13 2.94e-10 6.35021204937877e-15
LRRC37A GTEx.Adrenal_Gland 1.79e-10 2.27e-06 1.20444818525479e-11
KANSL1-AS1 GTEx.Adrenal_Gland 1.45e-12 2.69e-10 1.24200050533289e-14
LRRC37A4P GTEx.Adrenal_Gland 1.41e-12 2.11e-10 2.62549625533816e-13
LRRC37A2 GTEx.Adrenal_Gland 1.32e-11 2.72e-07 4.61817169868753e-13
WNT3 GTEx.Artery_Aorta 6.23e-10 4.17e-06 4.85699155245582e-11
CRHR1 GTEx.Artery_Aorta 1.38e-12 2.62e-10 1.28740814439968e-14
LRRC37A GTEx.Artery_Aorta 8.95e-13 1.94e-09 2.32002089846254e-15
MAPT GTEx.Artery_Aorta 1.42e-09 5.83e-07 9.5718696130886e-11
